embarcacao,saida_dia,saida_hora,chegada_dia,chegada_hora,destino,classificacao_destino,preco_passagem_rs
F/B SÃO BARTOLOMEU V,TERÇA,11:00,DOMINGO,10:00,ÓBIDOS,Intermediário,200.0
F/B SÃO BARTOLOMEU V,TERÇA,11:00,DOMINGO,10:00,SANTARÉM,PRINCIPAL,230.0
F/B ANA BEATRIZ V,QUINTA,10:00,QUARTA,14:00,PARINTINS,Intermediário,150.0
F/B ANA BEATRIZ V,QUINTA,10:00,QUARTA,14:00,JURUTÍ,Intermediário,160.0
F/B ANA BEATRIZ V,QUINTA,10:00,QUARTA,14:00,ÓBIDOS,Intermediário,200.0
F/B ANA BEATRIZ V,QUINTA,10:00,QUARTA,14:00,SANTARÉM,PRINCIPAL,230.0
N/M GOLFINHO DO MAR II,SEXTA,10:00,QUINTA,08:00,PARINTINS,Intermediário,150.0
N/M GOLFINHO DO MAR II,SEXTA,10:00,QUINTA,08:00,JURUTÍ,Intermediário,160.0
N/M GOLFINHO DO MAR II,SEXTA,10:00,QUINTA,08:00,ÓBIDOS,Intermediário,200.0
N/M GOLFINHO DO MAR II,SEXTA,10:00,QUINTA,08:00,SANTARÉM,PRINCIPAL,230.0
F/B SÃO BARTOLOMEU IV,SÁBADO,10:00,SEXTA,10:00,PARINTINS,Intermediário,150.0
F/B SÃO BARTOLOMEU IV,SÁBADO,10:00,SEXTA,10:00,JURUTÍ,Intermediário,160.0
F/B SÃO BARTOLOMEU IV,SÁBADO,10:00,SEXTA,10:00,ÓBIDOS,Intermediário,200.0
F/B SÃO BARTOLOMEU IV,SÁBADO,10:00,SEXTA,10:00,SANTARÉM,PRINCIPAL,230.0
F/B SÃO BARTOLOMEU VI,SEXTA,11:00,QUINTA,10:00,PARINTINS,Intermediário,150.0
F/B SÃO BARTOLOMEU VI,SEXTA,11:00,QUINTA,10:00,JURUTÍ,Intermediário,160.0
F/B SÃO BARTOLOMEU VI,SEXTA,11:00,QUINTA,10:00,ÓBIDOS,Intermediário,200.0
F/B SÃO BARTOLOMEU VI,SEXTA,11:00,QUINTA,10:00,SANTARÉM,Intermediário,230.0
F/B SÃO BARTOLOMEU VI,SEXTA,11:00,QUINTA,10:00,MONTE ALEGRE,PRINCIPAL,250.0
F/B GOLFINHO DO NORTE,TERÇA,11:00,DOMINGO,09:00,PARINTINS,Intermediário,150.0
F/B GOLFINHO DO NORTE,TERÇA,11:00,DOMINGO,09:00,JURUTÍ,Intermediário,160.0
F/B GOLFINHO DO NORTE,TERÇA,11:00,DOMINGO,09:00,ÓBIDOS,Intermediário,200.0
F/B GOLFINHO DO NORTE,TERÇA,11:00,DOMINGO,09:00,SANTARÉM,Intermediário,230.0
F/B GOLFINHO DO NORTE,TERÇA,11:00,DOMINGO,09:00,MONTE ALEGRE,PRINCIPAL,250.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,JURUTÍ,Intermediário,160.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,ÓBIDOS,Intermediário,200.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,SANTARÉM,Intermediário,230.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,MONTE ALEGRE,Intermediário,250.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,PRAINHA,Intermediário,280.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,ALMERIN,Intermediário,300.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,GURUPÁ,Intermediário,350.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,BREVES,Intermediário,400.0
N/M ANA KAROLINE VII/PP MAUÉS,SÁBADO,11:00,QUINTA,19:00,BELÉM,PRINCIPAL,450.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,JURUTÍ,Intermediário,160.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,ÓBIDOS,Intermediário,200.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,SANTARÉM,Intermediário,230.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,MONTE ALEGRE,Intermediário,250.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,PRAINHA,Intermediário,280.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,ALMERIN,Intermediário,320.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,GURUPÁ,Intermediário,350.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,BREVES,Intermediário,400.0
N/M AMAZON STAR,QUARTA,11:00,SEGUNDA,16:00,BELÉM,PRINCIPAL,450.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,JURUTÍ,Intermediário,160.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,ÓBIDOS,Intermediário,200.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,SANTARÉM,Intermediário,230.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,MONTE ALEGRE,Intermediário,250.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,PRAINHA,Intermediário,280.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,ALMERIN,Intermediário,320.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,GURUPÁ,Intermediário,350.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,BREVES,Intermediário,400.0
F/B CATAMARÃ RONDÔNIA/N/M ITABERABA I,QUARTA,11:00,SEGUNDA,18:00,BELÉM,PRINCIPAL,450.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,JURUTÍ,Intermediário,170.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,ÓBIDOS,Intermediário,200.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,SANTARÉM,Intermediário,230.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,MONTE ALEGRE,Intermediário,250.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,PRAINHA,Intermediário,280.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,ALMERIN,Intermediário,320.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,GURUPÁ,Intermediário,310.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,BREVES,Intermediário,300.0
F/B SAN MARINO II,QUARTA,11:00,DOMINGO,12:00,BELÉM,PRINCIPAL,450.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,JURUTÍ,Intermediário,160.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,ÓBIDOS,Intermediário,200.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,SANTARÉM,Intermediário,230.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,MONTE ALEGRE,Intermediário,250.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,PRAINHA,Intermediário,280.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,ALMERIN,Intermediário,320.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,GURUPÁ,Intermediário,310.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,BREVES,Intermediário,300.0
F/B SAN MARINO III,SÁBADO,11:00,QUINTA,18:00,BELÉM,PRINCIPAL,450.0
B/M CEL. TAVARES 12,TERÇA,10:00,SÁBADO,08:00,PARINTINS,,150.0
F/B MAYTÊ SAPHIRA,QUARTA,11:00,DOMINGO,07:00,PARINTINS,,150.0
N/M PARINTINS,QUINTA,10:00,TERÇA,07:00,PARINTINS,,150.0
N/M PRINCIPE DO AMAZONAS,SEXTA,11:00,QUARTA,07:00,PARINTINS,,150.0
N/M OLIVEIRA V,SÁBADO,11:00,QUINTA,08:00,PARINTINS,,150.0
N/M MANOEL MONTEIRO / F/B ALEGRIA,SÁBADO,18:00,SÁBADO,15:00,MARAÃ,,540.0
N/M MANOEL MONTEIRO / F/B ALEGRIA,SÁBADO,18:00,SÁBADO,15:00,JAPURÁ,PRINCIPAL,450.0
